CASE #,DATE  OF OCCURRENCE, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,ARREST_N
HX335796,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1111,Y
HX335699,7/7/2014,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,Y,N,133,N
HX339241,7/7/2014,BURGLARY,UNLAWFUL ENTRY,"SCHOOL, PUBLIC, BUILDING",N,N,511,Y
HX335771,7/7/2014,NARCOTICS,FOUND SUSPECT NARCOTICS,RESIDENTIAL YARD (FRONT/BACK),Y,N,1522,N
HX335770,7/7/2014,CRIMINAL TRESPASS,TO LAND,SIDEWALK,Y,N,1522,N
HX335736,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,Y,2223,Y
HX335711,7/7/2014,OTHER OFFENSE,PAROLE VIOLATION,ALLEY,Y,N,2532,N
HX335745,7/7/2014,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,SIDEWALK,Y,N,1124,N
HX335713,7/7/2014,THEFT,RETAIL THEFT,GAS STATION,N,N,1933,Y
HX335772,7/7/2014,CRIMINAL TRESPASS,TO RESIDENCE,CHA APARTMENT,N,N,1422,Y
HX335774,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,622,Y
HX335733,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,Y,1225,Y
HX335718,7/7/2014,BATTERY,AGGRAVATED: HANDGUN,STREET,N,N,1131,Y
HX335766,7/7/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,N,N,715,Y
HX335725,7/7/2014,BATTERY,AGGRAVATED: HANDGUN,STREET,N,N,2213,Y
HX336944,7/7/2014,THEFT,OVER $500,ALLEY,N,N,1012,Y
HX336602,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,923,Y
HX336824,7/7/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,833,Y
HX336108,7/7/2014,THEFT,OVER $500,STREET,N,N,1824,Y
HX336304,7/7/2014,THEFT,$500 AND UNDER,STREET,N,N,1632,Y
HX339578,7/7/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,522,Y
HX336159,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,322,Y
HX336140,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,623,Y
HX336211,7/7/2014,THEFT,OVER $500,SIDEWALK,N,N,612,Y
HX335950,7/7/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,Y,N,624,N
HX335783,7/7/2014,ROBBERY,STRONGARM - NO WEAPON,APARTMENT,N,Y,322,Y
HX336020,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2024,Y
HX337085,7/7/2014,ROBBERY,STRONGARM - NO WEAPON,STREET,N,N,413,Y
HX336638,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2511,Y
HX337335,7/7/2014,THEFT,$500 AND UNDER,STREET,N,N,1631,Y
HX335726,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2423,Y
HX336317,7/7/2014,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE,N,N,1512,Y
HX336323,7/7/2014,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,N,N,1622,Y
HX336149,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,833,Y
HX336214,7/7/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,N,835,Y
HX335759,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,2535,N
HX335769,7/7/2014,ARSON,BY FIRE,APARTMENT,N,N,324,Y
HX335738,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,513,N
HX335750,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,Y,N,1024,N
HX335740,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1222,N
HX335891,7/7/2014,NARCOTICS,POSS: HEROIN(WHITE),"SCHOOL, PUBLIC, GROUNDS",Y,N,835,N
HX335744,7/7/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,432,Y
HX335734,7/7/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,1733,Y
HX335754,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2532,Y
HX335730,7/7/2014,BATTERY,SIMPLE,SIDEWALK,Y,N,1533,N
HX335761,7/7/2014,OTHER OFFENSE,PAROLE VIOLATION,GAS STATION,Y,N,2523,N
HX335871,7/7/2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,Y,N,1132,N
HX335765,7/7/2014,ASSAULT,AGG PO HANDS NO/MIN INJURY,STREET,Y,N,311,N
HX335729,7/7/2014,ROBBERY,ATTEMPT: ARMED-HANDGUN,SMALL RETAIL STORE,N,N,213,Y
HX336281,7/7/2014,THEFT,$500 AND UNDER,SIDEWALK,N,N,1014,Y
HX335792,7/7/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,RESIDENCE,Y,N,726,N
HX338130,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2432,Y
HX335804,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1723,Y
HX335898,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,624,Y
HX335812,7/7/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,Y,N,831,N
HX336057,7/7/2014,THEFT,OVER $500,GAS STATION,N,N,1215,Y
HX336102,7/7/2014,THEFT,$500 AND UNDER,STREET,N,N,1622,Y
HX335864,7/7/2014,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,SIDEWALK,N,N,2223,Y
HX336240,7/7/2014,THEFT,$500 AND UNDER,STREET,N,N,1011,Y
HX335929,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,814,Y
HX335986,7/7/2014,THEFT,OVER $500,SIDEWALK,N,N,2514,Y
HX335775,7/7/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,726,N
HX335799,7/7/2014,BATTERY,SIMPLE,SIDEWALK,N,N,531,Y
HX335757,7/7/2014,BATTERY,AGGRAVATED: HANDGUN,STREET,N,N,713,Y
HX335791,7/7/2014,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,N,N,726,Y
HX335773,7/7/2014,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,SIDEWALK,Y,N,1531,N
HX335808,7/7/2014,BATTERY,AGGRAVATED: HANDGUN,STREET,N,N,2222,Y
HX335781,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,Y,Y,424,N
HX335814,7/7/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,1912,Y
HX335826,7/7/2014,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,Y,N,2533,N
HX335811,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,1122,N
HX335805,7/7/2014,BATTERY,SIMPLE,SIDEWALK,Y,N,2033,N
HX335782,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1523,N
HX335839,7/7/2014,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,N,1011,Y
HX335842,7/7/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENTIAL YARD (FRONT/BACK),N,N,1011,Y
HX335800,7/7/2014,BATTERY,AGG PO HANDS NO/MIN INJURY,STREET,Y,N,831,N
HX335802,7/7/2014,BATTERY,SIMPLE,STREET,N,N,2413,Y
HX336037,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2233,Y
HX336448,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,933,Y
HX335828,7/7/2014,BATTERY,SIMPLE,STREET,N,N,213,Y
HX335968,7/7/2014,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,VEHICLE NON-COMMERCIAL,Y,N,2413,N
HX335820,7/7/2014,ROBBERY,ARMED: HANDGUN,STREET,N,N,1532,Y
HX335779,7/7/2014,THEFT,ATTEMPT THEFT,RESIDENTIAL YARD (FRONT/BACK),N,N,1611,Y
HX335833,7/7/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,Y,Y,1121,N
HX336350,7/7/2014,THEFT,OVER $500,STREET,N,N,423,Y
HX337339,7/7/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,422,Y
HX337235,7/7/2014,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,N,N,1215,Y
HX336981,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,631,Y
HX336430,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,Y,Y,321,N
HX335849,7/7/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,Y,N,422,N
HX335784,7/7/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE PORCH/HALLWAY,Y,N,634,N
HX335835,7/7/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,APARTMENT,N,Y,232,Y
HX335844,7/7/2014,ASSAULT,PRO EMP HANDS NO/MIN INJURY,SIDEWALK,Y,N,726,N
HX335867,7/7/2014,CRIMINAL DAMAGE,TO PROPERTY,STREET,N,N,2431,Y
HX335936,7/7/2014,BURGLARY,UNLAWFUL ENTRY,CONSTRUCTION SITE,Y,N,1224,N
HX335819,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1524,N
HX335838,7/7/2014,BATTERY,SIMPLE,SIDEWALK,N,N,533,Y
HX335822,7/7/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,1423,Y
HX335848,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,422,N
HX335832,7/7/2014,NARCOTICS,POSS: COCAINE,PARKING LOT/GARAGE(NON.RESID.),Y,N,831,N
HX336884,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,2424,Y
HX336387,7/7/2014,THEFT,OVER $500,RESIDENCE,N,N,1412,Y
HX336186,7/7/2014,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,HOSPITAL BUILDING/GROUNDS,N,N,1834,Y
HX336014,7/7/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,N,N,223,Y
HX336185,7/7/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,726,Y
HX335843,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,N,N,2232,Y
HX335823,7/7/2014,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,Y,Y,2534,N
HX335853,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1915,N
HX335831,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1532,Y
HX335840,7/7/2014,ASSAULT,SIMPLE,STREET,Y,N,2534,N
HX335850,7/7/2014,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,2525,Y
HX335924,7/7/2014,ROBBERY,ARMED: HANDGUN,ALLEY,N,N,421,Y
HX335858,7/7/2014,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,Y,N,1122,N
HX343243,7/7/2014,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION,APARTMENT,N,N,624,Y
HX335852,7/7/2014,ASSAULT,SIMPLE,APARTMENT,N,Y,222,Y
HX335841,7/7/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,1732,Y
HX335855,7/7/2014,BATTERY,AGG PO HANDS NO/MIN INJURY,SIDEWALK,Y,N,726,N
HX336226,7/7/2014,OTHER OFFENSE,TELEPHONE THREAT,HOSPITAL BUILDING/GROUNDS,N,N,722,Y
HX335997,7/8/2014,THEFT,$500 AND UNDER,STREET,N,N,431,Y
HX336041,7/8/2014,THEFT,$500 AND UNDER,STREET,N,N,1934,Y
HX336067,7/8/2014,THEFT,OVER $500,STREET,N,N,2535,Y
HX336809,7/8/2014,THEFT,$500 AND UNDER,STREET,N,N,1813,Y
HX335887,7/8/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,N,Y,2234,Y
HX379206,7/8/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,2212,Y
HX335906,7/8/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,2223,Y
HX336893,7/8/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),N,N,512,Y
HX336010,7/8/2014,THEFT,$500 AND UNDER,STREET,N,N,1212,Y
HX336071,7/8/2014,THEFT,$500 AND UNDER,STREET,N,N,823,Y
HX336016,7/8/2014,THEFT,$500 AND UNDER,STREET,N,N,423,Y
HX337691,7/8/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,N,N,1633,Y
HX335861,7/8/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,2413,Y
HX335916,7/8/2014,THEFT,OVER $500,STREET,N,N,431,Y
HX347529,7/8/2014,THEFT,$500 AND UNDER,STREET,N,N,2511,Y
HX353988,7/8/2014,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,N,N,1622,Y
HX368101,7/8/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,323,Y
HX389882,7/8/2014,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,RESIDENCE,N,N,614,Y
HX372307,7/8/2014,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,N,N,2233,Y
HX457053,7/8/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1232,Y
HX535597,7/8/2014,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,CTA PLATFORM,Y,N,113,N
HY179588,7/8/2014,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,N,N,1234,Y
HX336563,7/8/2014,ROBBERY,ARMED: HANDGUN,STREET,N,N,522,Y
HX336609,7/8/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,734,Y
HX336405,7/8/2014,THEFT,$500 AND UNDER,STREET,N,N,1631,Y
HX336118,7/8/2014,THEFT,$500 AND UNDER,STREET,N,N,531,Y
HX336011,7/8/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1722,Y
HX335862,7/8/2014,THEFT,RETAIL THEFT,CONVENIENCE STORE,N,N,121,Y
HX336197,7/8/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,Y,1612,Y
HX335884,7/8/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,N,N,823,Y
HX335868,7/8/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,SIDEWALK,Y,Y,732,N
HX335879,7/8/2014,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,Y,N,2222,N
HX335892,7/8/2014,THEFT,$500 AND UNDER,BAR OR TAVERN,N,N,1613,Y
HX335859,7/8/2014,ASSAULT,SIMPLE,STREET,N,N,333,Y
HX335865,7/8/2014,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,Y,N,1423,N
HX335870,7/8/2014,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,N,Y,232,Y
HX335889,7/8/2014,BURGLARY,HOME INVASION,RESIDENCE,N,N,733,Y
HX335894,7/8/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,233,Y
HX335872,7/8/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,1135,Y
HX335893,7/8/2014,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,Y,Y,523,N
HX335866,7/8/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,726,Y
HX335895,7/8/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,612,Y
HX335880,7/8/2014,ROBBERY,ATTEMPT: ARMED-HANDGUN,STREET,Y,N,633,N
HX335917,7/8/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,212,N
HX335877,7/8/2014,ASSAULT,PRO EMP HANDS NO/MIN INJURY,SIDEWALK,Y,N,726,N
HX335873,7/8/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,Y,N,731,N
HX335897,7/8/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,735,Y
HX335888,7/8/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2422,Y
HX335902,7/8/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,N,Y,712,Y
HX336180,7/8/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1121,Y
HX335900,7/8/2014,ROBBERY,AGGRAVATED,SIDEWALK,N,N,122,Y
HX335896,7/8/2014,BATTERY,SIMPLE,STREET,N,N,2532,Y
HX335904,7/8/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,733,Y
HX335899,7/8/2014,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,1112,N
HX335909,7/8/2014,ASSAULT,SIMPLE,RESIDENCE,N,Y,2514,Y
HX374945,7/8/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1531,Y
HX335926,7/8/2014,BATTERY,SIMPLE,APARTMENT,N,N,122,Y
HX335913,7/8/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,522,N
HX335912,7/8/2014,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,N,N,2422,Y
HX335923,7/8/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1522,N
HX335931,7/8/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,ALLEY,Y,Y,1513,N
HX335914,7/8/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1123,Y
HX335970,7/8/2014,PUBLIC PEACE VIOLATION,OTHER VIOLATION,APARTMENT,Y,N,421,N
HX335915,7/8/2014,THEFT,PURSE-SNATCHING,VEHICLE NON-COMMERCIAL,N,N,614,Y
HX335921,7/8/2014,CRIMINAL TRESPASS,TO LAND,RESIDENTIAL YARD (FRONT/BACK),Y,Y,431,N
HX335925,7/8/2014,ASSAULT,AGGRAVATED: HANDGUN,VEHICLE NON-COMMERCIAL,N,N,1822,Y
HX336865,7/8/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,812,Y
HX355338,7/8/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,522,Y
HX335948,7/8/2014,BATTERY,SIMPLE,CTA BUS STOP,N,N,835,Y
HX335937,7/8/2014,THEFT,PURSE-SNATCHING,RESIDENCE PORCH/HALLWAY,N,N,524,Y
HX340555,7/8/2014,ROBBERY,STRONGARM - NO WEAPON,STREET,N,N,712,Y
HX336695,7/8/2014,THEFT,PURSE-SNATCHING,STREET,N,N,513,Y
HX336504,7/8/2014,THEFT,$500 AND UNDER,STREET,N,N,614,Y
HX335945,7/8/2014,ASSAULT,PRO EMP HANDS NO/MIN INJURY,HOSPITAL BUILDING/GROUNDS,N,N,522,Y
HX335987,7/8/2014,THEFT,FROM BUILDING,OTHER,N,N,1432,Y
HX336153,7/8/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,2523,Y
HX336872,7/8/2014,THEFT,OVER $500,RESIDENCE,N,N,1924,Y
HX335989,7/8/2014,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,N,N,712,Y
HX336289,7/8/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1024,Y
HX336937,7/8/2014,THEFT,$500 AND UNDER,STREET,N,N,423,Y
HX335930,7/8/2014,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,SIDEWALK,Y,N,1822,N
HX335958,7/8/2014,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,STREET,Y,N,1423,N
HX338012,7/8/2014,THEFT,$500 AND UNDER,GROCERY FOOD STORE,N,N,1925,Y
HX335935,7/8/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,1113,N
HX335938,7/8/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,322,Y
HX336166,7/8/2014,THEFT,OVER $500,STREET,N,N,1631,Y
HX335934,7/8/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,Y,Y,726,N
HX335932,7/8/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,2533,N
HX335933,7/8/2014,NARCOTICS,POSS: CRACK,CHA PARKING LOT/GROUNDS,Y,N,424,N
HX335942,7/8/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,ALLEY,Y,Y,2212,N
HX335951,7/8/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,Y,N,612,N
HX335954,7/8/2014,CRIMINAL TRESPASS,TO RESIDENCE,ABANDONED BUILDING,Y,N,624,N
HX335953,7/8/2014,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE PORCH/HALLWAY,Y,N,2433,N
HX335941,7/8/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1924,Y
HX337558,7/8/2014,CRIMINAL DAMAGE,TO PROPERTY,OTHER,N,N,612,Y
HX336853,7/8/2014,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,N,Y,1532,Y
HX335947,7/8/2014,THEFT,$500 AND UNDER,STREET,N,N,431,Y
HX335949,7/8/2014,BATTERY,AGGRAVATED: HANDGUN,CTA BUS STOP,N,N,725,Y
HX335946,7/8/2014,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,Y,N,1533,N
HX335960,7/8/2014,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,Y,N,1012,N
HX336729,7/8/2014,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,PARKING LOT/GARAGE(NON.RESID.),N,N,1124,Y
HX336113,7/8/2014,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,N,N,1211,Y
HX335993,7/8/2014,BURGLARY,FORCIBLE ENTRY,OTHER,N,N,211,Y
HX338537,7/8/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1523,Y
HX336751,7/8/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,731,Y
HX336536,7/8/2014,ROBBERY,ARMED: HANDGUN,STREET,N,N,1712,Y
HX335973,7/8/2014,THEFT,OVER $500,STREET,N,N,914,Y
HX336976,7/8/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,N,N,1012,Y
HX335971,7/8/2014,BATTERY,AGG PO HANDS NO/MIN INJURY,RESIDENCE,Y,N,511,N
HX335963,7/8/2014,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,N,N,1213,Y
HX335961,7/8/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,324,Y
HX335967,7/8/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,624,Y
HX336091,7/8/2014,THEFT,$500 AND UNDER,STREET,N,N,423,Y
HX335972,7/8/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,1922,Y
HX344187,7/8/2014,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,N,N,524,Y
HX335974,7/8/2014,THEFT,$500 AND UNDER,"SCHOOL, PRIVATE, BUILDING",Y,N,1132,N
HX335983,7/8/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,821,N
HX335979,7/8/2014,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,N,N,1523,Y
HX335984,7/8/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,821,N
HX337660,7/8/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,123,Y
HX336840,7/8/2014,THEFT,$500 AND UNDER,STREET,N,N,423,Y
HX341373,7/8/2014,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,814,Y
HX338834,7/8/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,322,Y
HX335978,7/8/2014,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,N,Y,726,Y
HX336058,7/8/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,N,334,Y
HX340405,7/8/2014,THEFT,RETAIL THEFT,GAS STATION,N,N,1823,Y
HX335988,7/8/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1713,Y
HX336004,7/8/2014,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,N,N,423,Y
HX336561,7/8/2014,CRIMINAL TRESPASS,TO VEHICLE,STREET,N,N,434,Y
HX336858,7/8/2014,THEFT,$500 AND UNDER,STREET,N,N,2511,Y
HX335991,7/8/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1821,Y
HX337424,7/8/2014,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,N,N,311,Y
HX336618,7/8/2014,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,N,214,Y
HX335998,7/8/2014,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,N,Y,2223,Y
HX336024,7/8/2014,THEFT,$500 AND UNDER,STREET,N,N,111,Y
HX336012,7/8/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,432,Y
HX336060,7/8/2014,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,N,N,2022,Y
HX336007,7/8/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,713,Y
HX336815,7/8/2014,THEFT,OVER $500,STREET,N,N,513,Y
HX336009,7/8/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),N,N,1524,Y
HX336047,7/8/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1512,Y
HX336441,7/8/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,1422,Y
